"184","ラーメン二郎 茨城守谷店","https://s1.spkimg.com/image/2019/12/12/22/YqRcoUOXvBt6BxApfgvjUWsJG3Dc4mjJ.jpg","2019-12-19 09:15:20","2019-12-19 09:15:20","〒302-0124 茨城県守谷市美園4-1-5 美園ビル1F",NULL,NULL
"185","灼味噌らーめん 八堂八","https://s1.spkimg.com/image/2019/12/07/00/XMTXp64J0oF7Era3Lda01S2AinTPHIcf.jpg","2019-12-19 09:15:20","2019-12-19 09:15:20","〒153-0043 東京都目黒区東山1-11-4",NULL,NULL
"186","くじら食堂 nonowa東小金井店","https://s1.spkimg.com/image/2019/12/16/11/cL90Na5DYt1DQA6G1CmUtWZWoKhvfwZ8.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","〒184-0002 東京都小金井市梶野町5-1-19 nonowa東小金井このお店は「東京都小金井市梶野町5-1-19」から移転しました。",NULL,NULL
"187","柏 王道家","https://s1.spkimg.com/image/2019/12/12/19/uM6hk3GtC2OmjURPOd3cYqMnhoaiBW7Z.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","〒277-0841 千葉県柏市明原1-7-26",NULL,NULL
"188","ラーメン屋ジョン","https://s1.spkimg.com/image/2019/12/13/23/EXbLIdGKR4FnG5jPWOX2p5EN694BQqCt.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","〒177-0051 東京都練馬区関町北4-1-7",NULL,NULL
"189","自家製中華そば としおか","https://s1.spkimg.com/image/2019/12/13/07/bi4xKT4mjjZlVafW9PzUesmIt9XdJo6A.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","〒162-0851 東京都新宿区弁天町20-102",NULL,NULL
"190","創作麺工房 鳴龍","https://s1.spkimg.com/image/2019/12/08/17/GMFuYEuiebsftO58ZJN09lp1ZHXtMXvc.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","〒170-0005 東京都豊島区南大塚2-34-4 SKY南大塚1F",NULL,NULL
"191","中華そば 四つ葉","https://s1.spkimg.com/image/2019/12/15/20/1bvYVDw8ECvKOLoXmjJtrg6a0F9sJm85.jpg","2019-12-19 09:15:21","2019-12-19 09:15:21","埼玉県比企郡川島町伊草298-20",NULL,NULL
"192","麺や 魁星","https://s1.spkimg.com/image/2019/11/21/22/4JoabBQTJsU9jCKWZ4o0m6qzcphIfzAq.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒231-0041 神奈川県横浜市中区吉田町3-11",NULL,NULL
"193","麺庵ちとせ","https://s1.spkimg.com/image/2019/12/14/15/9e0NscZPmifKrEJBK7zv1dzXSh5HLUR4.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒162-0066 東京都新宿区市谷台町18-5",NULL,NULL
"194","狼煙 〜NOROSHI〜","https://s1.spkimg.com/image/2019/12/15/11/zV2nAWauRThINm3we0IhXZs6GRZCLy3D.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒331-0814 埼玉県さいたま市北区東大成町1-544",NULL,NULL
"195","らぁ麺 すぎ本","https://s1.spkimg.com/image/2019/12/16/10/W59Rorc3uzBQOYVlStfpC74gnTgqkyFX.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒165-0031 東京都中野区鷺宮4-2-3",NULL,NULL
"196","鶏こく中華 すず喜","https://s1.spkimg.com/image/2019/12/11/20/4KjYevqufsDwQ2PIR91N0hHwF3Pkcm7p.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒181-0013 東京都三鷹市下連雀3-28-21 公団三鷹駅前第2アパートB-1",NULL,NULL
"197","所沢大勝軒","https://s1.spkimg.com/image/2019/12/14/14/QacoZbPf0bok5rZF13djuTlx9L65OlnP.jpg","2019-12-19 09:15:22","2019-12-19 09:15:22","〒359-1111 埼玉県所沢市緑町4-5-4",NULL,NULL
